City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,bambanglipuro,-7.95,110.2833,24.53,88,97,2.27,ID,04/02/2023
120,bredasdorp,-34.5322,20.0403,17.79,91,1,3.09,ZA,04/02/2023
121,codrington,-38.2667,141.9667,10.69,86,0,2.71,AU,04/02/2023
122,san policarpo,12.1791,125.5072,25.94,75,78,2.67,PH,04/02/2023
123,anahuac,27.2333,-100.15,33.39,38,89,1.45,MX,04/02/2023
124,zhigansk,66.7697,123.3711,-7.05,94,100,9.55,RU,04/02/2023
125,nikolskoye,59.7035,30.7861,-1.06,95,99,5.27,RU,04/02/2023
126,saldanha,-33.0117,17.9442,17.03,93,59,4.92,ZA,04/02/2023
127,kattivakkam,13.2167,80.3167,29.05,87,3,5.09,IN,04/02/2023
128,nome,64.5011,-165.4064,-12.72,85,0,6.17,US,04/02/2023
129,mahibadhoo,3.7833,72.9667,27.69,74,70,4.75,MV,04/02/2023
130,wawa,9.9022,4.4192,30.89,20,7,1.02,NG,04/02/2023
131,ngorongoro,-3.2397,35.4875,11.39,89,73,1.51,TZ,04/02/2023
132,aklavik,68.2191,-135.0107,-9.82,83,99,4.08,CA,04/02/2023
133,kairana,29.4,77.2,18.85,62,9,0.98,IN,04/02/2023
134,bethel,41.3712,-73.414,9.87,26,0,5.14,US,04/02/2023
135,ketchikan,55.3422,-131.6461,7.26,65,40,5.66,US,04/02/2023
136,bubaque,11.2833,-15.8333,25.64,77,2,7.05,GW,04/02/2023
137,mega,4.05,38.3,17.35,74,46,1.77,ET,04/02/2023
138,east london,-33.0153,27.9116,22.02,81,100,4.56,ZA,04/02/2023
139,hamilton,39.1834,-84.5333,14.13,53,0,4.12,US,04/02/2023
140,tuatapere,-46.1333,167.6833,11.95,62,96,1.97,NZ,04/02/2023
141,kavieng,-2.5744,150.7967,28.22,78,99,5.31,PG,04/02/2023
142,havoysund,70.9963,24.6622,-0.87,80,99,5.57,NO,04/02/2023
143,lebu,-37.6167,-73.65,13.13,78,0,6.52,CL,04/02/2023
144,bonavista,48.6499,-53.1147,1.7,92,100,7.63,CA,04/02/2023
145,polunochnoye,60.8697,60.4153,-2.18,97,99,1.14,RU,04/02/2023
146,fougamou,-1.2154,10.5838,23.58,99,100,1.17,GA,04/02/2023
147,alta floresta,-9.8756,-56.0861,22.9,94,75,2.06,BR,04/02/2023
148,upata,8.0086,-62.3989,26.77,48,84,4.5,VE,04/02/2023
149,zvishavane,-20.3267,30.0665,16.49,92,9,0.99,ZW,04/02/2023
150,hambantota,6.1241,81.1185,23.19,100,20,1.03,LK,04/02/2023
151,severobaykalsk,55.65,109.3167,-14.73,83,100,2.5,RU,04/02/2023
152,henties bay,-22.116,14.2845,16.1,90,10,2.97,NA,04/02/2023
153,ginir,7.1333,40.7,15.08,86,98,1.84,ET,04/02/2023
154,wanning,18.8003,110.3967,24.35,93,42,4.84,CN,04/02/2023
155,lavrentiya,65.5833,-171.0,-15.09,74,23,0.7,RU,04/02/2023
156,visakhapatnam,17.69,83.2093,26.2,84,98,3.77,IN,04/02/2023
157,nykoping,58.753,17.0079,-1.84,64,0,2.57,SE,04/02/2023
158,jutai,-5.1833,-68.9,25.43,81,85,1.16,BR,04/02/2023
159,cayenne,4.9333,-52.3333,26.02,78,90,4.12,GF,04/02/2023
160,leningradskiy,69.3833,178.4167,-21.56,87,100,4.55,RU,04/02/2023
161,vao,-22.6667,167.4833,25.45,81,50,2.7,NC,04/02/2023
162,luanda,-8.8368,13.2343,28.0,83,0,3.6,AO,04/02/2023
163,meulaboh,4.1363,96.1285,24.4,86,100,1.95,ID,04/02/2023
164,tiksi,71.6872,128.8694,-8.24,79,100,8.38,RU,04/02/2023
165,kodiak,57.79,-152.4072,2.73,48,0,7.72,US,04/02/2023
166,richards bay,-28.783,32.0377,22.88,82,50,6.61,ZA,04/02/2023
167,saint george,37.1041,-113.5841,21.91,21,0,2.57,US,04/02/2023
168,ouadda,8.0777,22.4007,22.29,24,7,0.69,CF,04/02/2023
169,okhotsk,59.3833,143.3,-12.57,74,16,7.84,RU,04/02/2023
170,vynohradove,46.3696,32.9398,7.87,95,100,5.51,UA,04/02/2023
171,bentiu,9.2333,29.8333,27.93,12,25,2.08,SS,04/02/2023
172,pilar,-9.5972,-35.9567,24.96,83,100,2.36,BR,04/02/2023
173,moussoro,13.6408,16.4901,30.09,12,4,4.42,TD,04/02/2023
174,sitka,57.0531,-135.33,4.94,75,75,0.0,US,04/02/2023
175,fairbanks,64.8378,-147.7164,-0.51,84,100,5.14,US,04/02/2023
176,linkebeek,50.7678,4.3369,4.48,89,40,1.54,BE,04/02/2023
177,saryg-sep,51.5,95.6,-18.3,92,15,1.57,RU,04/02/2023
178,palora,-1.7,-77.9333,23.06,95,80,0.61,EC,04/02/2023
179,port hawkesbury,45.6169,-61.3485,2.97,68,0,6.71,CA,04/02/2023
180,bathsheba,13.2167,-59.5167,28.34,65,20,9.77,BB,04/02/2023
181,arraial do cabo,-22.9661,-42.0278,23.92,78,75,4.12,BR,04/02/2023
182,cape town,-33.9258,18.4232,21.32,85,75,4.63,ZA,04/02/2023
183,wattegama,6.7989,81.4808,22.32,92,1,0.97,LK,04/02/2023
184,avarua,-21.2078,-159.775,27.03,74,75,4.12,CK,04/02/2023
185,bengkulu,-3.8004,102.2655,23.29,91,98,2.18,ID,04/02/2023
186,ambovombe,-25.1667,46.0833,22.28,88,29,5.13,MG,04/02/2023
187,akdepe,42.0551,59.3788,7.05,48,45,2.96,TM,04/02/2023
188,tecoanapa,16.5167,-98.75,30.19,55,4,4.92,MX,04/02/2023
189,bonthe,7.5264,-12.505,26.73,86,1,2.97,SL,04/02/2023
190,igarka,67.4667,86.5833,-5.37,90,100,5.05,RU,04/02/2023
191,pevek,69.7008,170.3133,-27.89,100,100,1.02,RU,04/02/2023
192,bandarbeyla,9.4942,50.8122,27.24,76,31,2.47,SO,04/02/2023
193,atasu,48.6814,71.6433,0.18,45,0,5.6,KZ,04/02/2023
194,surab,28.4914,66.2585,13.58,61,4,7.13,PK,04/02/2023
195,pemangkat,1.1667,108.9667,25.16,85,100,1.33,ID,04/02/2023
196,zuenoula,7.4292,-6.0431,29.05,52,59,3.27,CI,04/02/2023
197,poya,-21.35,165.15,28.17,69,16,1.2,NC,04/02/2023
198,vrangel,42.7297,133.0839,4.28,67,5,2.51,RU,04/02/2023
199,sistranda,63.7256,8.834,2.98,75,81,6.7,NO,04/02/2023
200,puerto carreno,6.189,-67.4859,34.99,38,40,3.6,CO,04/02/2023
201,kandrian,-6.2167,149.55,26.5,83,80,1.01,PG,04/02/2023
202,yar-sale,66.8333,70.8333,-10.81,86,41,4.88,RU,04/02/2023
203,norrtalje,59.758,18.705,-1.66,89,11,3.08,SE,04/02/2023
204,vestmannaeyjar,63.4427,-20.2734,5.49,91,100,9.4,IS,04/02/2023
205,dutlwe,-23.9833,23.9,22.01,44,36,3.68,BW,04/02/2023
206,madimba,-10.4,40.3333,25.62,94,20,5.14,TZ,04/02/2023
207,ahuimanu,21.4447,-157.8378,26.84,76,100,3.6,US,04/02/2023
208,souillac,-20.5167,57.5167,26.21,89,75,3.6,MU,04/02/2023
209,sao joao do paraiso,-15.3136,-42.0144,27.01,36,84,4.1,BR,04/02/2023
210,ornskoldsvik,63.2909,18.7153,-10.47,100,41,1.03,SE,04/02/2023
211,vardo,70.3705,31.1107,-4.01,86,100,6.17,NO,04/02/2023
212,saint-pierre,-21.3393,55.4781,25.82,83,0,4.12,RE,04/02/2023
213,mykhaylivka,47.2724,35.2224,7.82,95,100,5.26,UA,04/02/2023
214,derzhavinsk,51.1,66.3167,2.23,62,0,5.91,KZ,04/02/2023
215,naze,28.3667,129.4833,18.51,73,4,10.12,JP,04/02/2023
216,klaksvik,62.2266,-6.589,6.51,81,100,4.59,FO,04/02/2023
217,laguna,38.421,-121.4238,17.97,51,20,6.69,US,04/02/2023
218,buala,-8.145,159.5921,28.09,76,100,2.96,SB,04/02/2023
219,tikapur,28.5,81.1333,18.78,60,0,1.56,NP,04/02/2023
220,kalabo,-14.97,22.6814,19.0,91,90,2.21,ZM,04/02/2023
221,walvis bay,-22.9575,14.5053,15.53,88,3,1.03,NA,04/02/2023
222,ilam,26.9167,87.9167,12.81,75,4,2.47,NP,04/02/2023
223,tomari,47.7658,142.0683,2.49,72,8,3.4,RU,04/02/2023
224,ajdabiya,30.7554,20.2263,23.18,13,0,9.65,LY,04/02/2023
225,cabo san lucas,22.8909,-109.9124,29.78,46,100,4.11,MX,04/02/2023
226,bambous virieux,-20.3428,57.7575,26.23,89,75,3.6,MU,04/02/2023
227,ancud,-41.8697,-73.8203,12.57,66,6,2.14,CL,04/02/2023
228,tuapse,44.1125,39.0742,9.05,63,86,1.56,RU,04/02/2023
229,burnie,-41.0667,145.9167,14.41,91,84,1.47,AU,04/02/2023
230,sapele,5.8941,5.6767,24.73,85,97,1.59,NG,04/02/2023
231,hopkinton,41.4612,-71.7776,9.89,31,1,0.45,US,04/02/2023
232,alice springs,-23.7,133.8833,19.01,67,40,3.6,AU,04/02/2023
233,carnarvon,-24.8667,113.6333,23.57,78,60,4.4,AU,04/02/2023
234,thompson,55.7435,-97.8558,-11.91,48,20,6.69,CA,04/02/2023
235,uusikaupunki,60.8004,21.4084,-3.54,91,9,3.77,FI,04/02/2023
236,general roca,-39.0333,-67.5833,21.46,32,98,3.68,AR,04/02/2023
237,lunenburg,44.3835,-64.3155,5.03,42,3,9.77,CA,04/02/2023
238,sioux lookout,50.1001,-91.917,2.04,64,100,3.09,CA,04/02/2023
239,san francisco,37.7749,-122.4194,16.45,67,75,10.8,US,04/02/2023
240,ternate,0.8,127.4,26.73,82,100,0.37,ID,04/02/2023
241,kenai,60.5544,-151.2583,2.05,55,0,3.6,US,04/02/2023
242,airai,-8.9266,125.4092,14.76,93,51,0.8,TL,04/02/2023
243,brae,60.3964,-1.353,6.62,84,63,1.96,GB,04/02/2023
244,vaitape,-16.5167,-151.75,28.2,71,100,3.48,PF,04/02/2023
245,frederico westphalen,-27.3592,-53.3944,20.8,34,0,1.13,BR,04/02/2023
246,matara,5.9485,80.5353,24.25,90,9,1.32,LK,04/02/2023
247,constitucion,-35.3333,-72.4167,17.18,63,8,6.58,CL,04/02/2023
248,pergamino,-33.89,-60.5736,21.77,42,79,1.74,AR,04/02/2023
249,petropavlovsk-kamchatskiy,53.0452,158.6483,-0.67,69,0,3.0,RU,04/02/2023
250,berasia,23.6333,77.4333,23.43,36,0,0.18,IN,04/02/2023
251,mayo,38.8876,-76.5119,14.87,34,0,4.12,US,04/02/2023
252,basna,21.2833,82.8167,25.64,32,34,0.89,IN,04/02/2023
253,barrow,71.2906,-156.7887,-13.99,78,100,6.69,US,04/02/2023
254,esperance,-33.8667,121.9,17.98,77,66,3.4,AU,04/02/2023
255,strzegom,50.9626,16.3501,3.29,85,94,4.35,PL,04/02/2023
256,beroroha,-21.6667,45.1667,22.58,86,4,1.19,MG,04/02/2023
257,bouna,9.2667,-3.0,30.25,42,95,3.02,CI,04/02/2023
258,biak,-0.9131,122.8766,24.69,82,100,2.13,ID,04/02/2023
259,zhangye,38.9342,100.4517,3.7,37,100,2.11,CN,04/02/2023
260,kudahuvadhoo,2.6708,72.8944,27.71,72,62,2.18,MV,04/02/2023
261,dawei,14.0833,98.2,22.82,91,22,1.09,MM,04/02/2023
262,shimoda,34.6667,138.95,10.06,70,96,8.77,JP,04/02/2023
263,harper,4.375,-7.7169,26.6,85,35,1.79,LR,04/02/2023
264,muhammadabad,25.6333,83.75,22.95,45,1,1.83,IN,04/02/2023
265,rodez,44.5,2.5833,7.82,87,100,6.69,FR,04/02/2023
266,nokaneng,-19.6667,22.2667,23.0,54,46,2.67,BW,04/02/2023
267,ariquemes,-9.9133,-63.0408,24.2,91,100,0.95,BR,04/02/2023
268,san jose,37.3394,-121.895,17.23,53,75,10.73,US,04/02/2023
269,kurilsk,45.2333,147.8833,-0.03,72,78,4.27,RU,04/02/2023
270,nanortalik,60.1432,-45.2371,-0.89,88,100,3.56,GL,04/02/2023
271,jacareacanga,-6.2222,-57.7528,21.43,99,100,2.58,BR,04/02/2023
272,angoche,-16.2325,39.9086,24.67,88,100,4.71,MZ,04/02/2023
273,provideniya,64.3833,-173.3,-10.91,57,75,2.0,RU,04/02/2023
274,hami,42.8,93.45,1.9,25,53,7.49,CN,04/02/2023
